Hand,RAISE 25,FOLD,RAISE 25 EV,FOLD EV
Ac8c,100,0,138.963785,0.0000048
Ac9c,100,0,148.155994,0.0000048
AcTc,100,0,198.318415,0.0000048
AcJc,100,0,228.885117,0.0000048
AcQc,100,0,286.34161,0.0000048
AcKc,100,0,377.553444,0.0000048
Ac2d,100,0,30.6112719,0
Ac3d,100,0,34.7717214,0
Ac4d,100,0,43.3472258,0
Ac5d,100,0,43.297739,0
Ac6d,100,0,44.4116098,0
Ac7d,100,0,52.6742464,0
Ac8d,100,0,61.0257816,0
Ac9d,100,0,88.6548138,0
AcTd,100,0,121.189671,0
AcJd,100,0,150.950537,0
AcQd,100,0,211.046829,0
AcKd,100,0,292.33448,0
Ac2h,100,0,30.6112719,0
Ac3h,100,0,34.7717214,0
Ac4h,100,0,43.3472258,0
Ac5h,100,0,43.297739,0
Ac6h,100,0,44.4116098,0
Ac7h,100,0,52.6742464,0
Ac8h,100,0,61.0257816,0
Ac9h,100,0,88.6548138,0
AcTh,100,0,121.189671,0
AcJh,100,0,150.950537,0
AcQh,100,0,211.046829,0
AcKh,100,0,292.33448,0
Ac2s,100,0,30.6112719,0
Ac3s,100,0,34.7717214,0
Ac4s,100,0,43.3472258,0
Ac5s,100,0,43.297739,0
Ac6s,100,0,44.4116098,0
Ac7s,100,0,52.6742464,0
Ac8s,100,0,61.0257816,0
Ac9s,100,0,88.6548138,0
AcTs,100,0,121.189671,0
AcJs,100,0,150.950537,0
AcQs,100,0,211.046829,0
AcKs,100,0,292.33448,0
2d2c,100,0,94.2143059,0
3d2c,0,100,-17.8090668,0
3d3c,100,0,112.506981,0
3d2d,99.999994,0.00000596,3.4709883,0.0000048
3d2h,0,100,-17.8090668,0
3d2s,0,100,-17.8090668,0
4d2c,0,100,-10.8360195,0
4d3c,3.77680808,96.2231934,-0.095706,0
4d4c,100,0,116.691814,0
4d2d,99.999994,0.00000596,10.3489828,0.0000048
4d3d,100,0,31.5053093,0.0000048
